United Arab Emirates,ARE,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,1.5,,,,,,0.8,1.9,,,,4.5,4.9,5.5,5.7,8.1,9.1,8.5,9.4,9.7,11.2,14.8,21.7,12.9,10.3,8.4,6.9,6.1,5.8,5.2,4.9,2.7,2.7,2.5,2.7,,2.7,2.4
Argentina,ARG,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,0.4,,,,,,0,0,,,,1.3,2,2.3,2.3,3.9,4.5,4,4.2,4.5,5.4,8.2,11.7,5.9,4.4,3.5,3,2.5,2.4,2.2,2,0.8,0.9,0.8,0.8,,0.8,0.7
Argentina,ARG,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,0.2,,,,,,0,0,,,,0.7,1.2,1.2,1.5,2.4,2.9,2.4,2.3,2.5,2.9,4.9,5.6,2.6,1.7,1.3,1.3,1.1,1.1,1.1,0.9,0.3,0.3,0.3,0.3,,0.3,0.2
Argentina,ARG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,30.5,,,,,31.7,,,,,32.9,,,,,26.2,,23.5,,20.8,,,,,16.7,,,
Armenia,ARM,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,39.3,,41.3,39,36.8,29.9,24.6,21.5,18.3,16.2,20,20.3,19.1,17.7,17.1,16.7,14.8,14.2,14.4
Armenia,ARM,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,16.9,,18,15.7,13.2,9.6,6.1,4.9,4.1,2.7,3.9,4,3.8,3.4,3.5,3.5,3,2.9,2.5
Armenia,ARM,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,4.1,,4.4,3.2,2,1.8,0.9,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.3,0.2
Armenia,ARM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,
American Samoa,ASM,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,
Australia,AUS,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,1,,,,1.1,,,,0.9,,,,,,1,,,,,,0.9,,1.1,0.7,,,,0.5,,0.5,,,,0.8,,,
Australia,AUS,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,0.7,,,,0.8,,,,0.6,,,,,,0.8,,,,,,0.7,,0.9,0.6,,,,0.4,,0.4,,,,0.6,,,
Australia,AUS,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,0.5,,,,0.6,,,,0.5,,,,,,0.6,,,,,,0.6,,0.8,0.4,,,,0.3,,0.3,,,,0.5,,,
Australia,AUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1,0.2,0.2,0.5,0.5,0.7,0.5,0.6,0.7,0.3,0.3,0.7,,
Austria,AUT,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0,0.1,0.1,0.3,0.3,0.6,0.4,0.4,0.5,0.3,0.2,0.6,,
Austria,AUT,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,0,0,0.2,0.2,0.4,0.4,0.3,0.4,0.1,0.1,0.5,,
Austria,AUT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,23.7,,,,,,17.5,2.8,3.2,2.1,0.9,,,,,,,,,,,,
Azerbaijan,AZE,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,8,,,,,,4.1,0.1,0.1,0,0,,,,,,,,,,,,
Azerbaijan,AZE,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,2.2,,,,,,0.5,0,0,0,0,,,,,,,,,,,,
Azerbaijan,AZE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,74.7,,,,,,77.7,,,,,,,,72.2,,,,,,,69.3,,,,
Burundi,BDI,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,58.4,,,,,,63.8,,,,,,,,54.9,,,,,,,51.5,,,,
Burundi,BDI,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,36.8,,,,,,44.8,,,,,,,,32.9,,,,,,,30.4,,,,
Burundi,BDI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,,64.3,,,,,,,57.9,,,
Belgium,BEL,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,,
Belgium,BEL,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0,0.1,,
Belgium,BEL,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0,,
Belgium,BEL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,57.8,,,,,,,,57.7,,,,59.2,,
Benin,BEN,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,,,,,,,,38.5,,,,39.5,,
Benin,BEN,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,,,,,,19,,,,22.4,,
Benin,BEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,79.3,,,,,76.8,,,,,74.3,,,,,71.8,,70.8,,69.8,,,,,61.5,,,
Burkina Faso,BFA,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,77.7,,,,75,,,,,61.9,,,,,,61,,,,,54.9,,,
Burkina Faso,BFA,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,64.9,,,,61.1,,,,,43,,,,,,40.6,,,,,32.2,,,
Burkina Faso,BFA,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,48.4,,,,43,,,,,23.7,,,,,,19.9,,,,,11.1,,,
Burkina Faso,BFA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,78.8,,,,,72.4,,,,,65.9,,,,,59.5,,59.5,,,,,,,65.8,,,
Bangladesh,BGD,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,53.1,,49.6,,,55.4,,,58.6,,,,52.9,,,,,51.4,,,,,47,,,,,43.4,,,,,,39.2,
Bangladesh,BGD,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,26.8,,23.1,,,30.5,,,34.1,,,,28.9,,,,,27.8,,,,,22.7,,,,,19,,,,,,15.6,
Bangladesh,BGD,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,7.1,,4.8,,,9.1,,,11.3,,,,8.2,,,,,8,,,,,5.1,,,,,3.6,,,,,,2.7,
Bangladesh,BGD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,87.3,,,,,84.7,,,,,77.8,,,,,70.8,,66.2,,61.6,,,,,55.1,,,
Bulgaria,BGR,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,9.4,4.1,3,2.8,3.8,4.4,4.3,4.3,3.4,,,
Bulgaria,BGR,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,4.8,1.5,1,0.9,1.5,2,1.8,1.8,1.4,,,
Bulgaria,BGR,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.6,0.6,0.4,0.3,0.6,0.9,0.8,0.7,0.5,,,
Bulgaria,BGR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.9,,,0.7,,,,0.9,,,,,,
Bosnia and Herzegovina,BIH,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,
Bosnia and Herzegovina,BIH,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.1,,,0,,,,0,,,,,,
Bosnia and Herzegovina,BIH,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,31.9,28.9,24.2,15.5,12.3,10.6,6.3,3.8,2.3,1.6,1.1,1,0.6,0.4,0.2,0.1,0.1,0.1,0.1,0.1
Belarus,BLR,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,11.7,10.5,7.6,3.8,2.6,2.1,0.8,0.5,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0
Belarus,BLR,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,2.7,2.6,1.7,0.7,0.5,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,21.4,22.3,,26.5,28.5,26.9,24,,,,,,,,,,,,,,,,,,
Belize,BLZ,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,10,9.9,,12.3,15,13.2,11.8,,,,,,,,,,,,,,,,,,
Belize,BLZ,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,5,4.5,,5.6,7.7,5.8,6.1,,,,,,,,,,,,,,,,,,
Belize,BLZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,,,,,10.8,,,
Bermuda,BMU,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,19.6,,,,,,,27.5,,32.5,36.3,31.3,32.9,,24.5,27.5,24.3,22.3,18.1,16,,12.3,13,11.4,10.6,10.7,11.2,10.4
Bolivia,BOL,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,6.7,,,,,,,16.4,,22.1,24.9,19.5,20.8,,12.3,16.4,13.9,11.3,9.3,8.8,,6.1,6.9,5.7,5.2,5.3,5.7,4.9
Bolivia,BOL,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,1.1,,,,,,,10,,15.3,17.6,12.3,13.4,,6,9.9,8,6,5,5,,3.1,4,3.1,2.6,2.8,3,2.5
Bolivia,BOL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,62.2,,,,,58.2,,,,,54.3,,,,,50.4,,48.8,,47.3,,,,,43.5,,,
Brazil,BRA,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,31.5,31.5,37.1,36.6,32.9,19.4,26.9,29,27,30.7,,30.5,29.5,,21.8,22.4,22.5,21.3,22.2,,19.5,18.6,19.3,18,16.7,14.5,13.7,11.9,11.2,,9.6,8,7.7,6.5,7.3,8.4,8.7
Brazil,BRA,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,17.6,17.7,22.1,21.4,18.6,9.3,14.8,16.6,15.1,17.6,,17.4,16.6,,11.2,12.1,12,10.9,11.4,,9.9,9,9.6,8.5,7.6,6.4,6.1,5.1,4.8,,4.1,3.4,3.3,2.5,2.9,3.7,4
Brazil,BRA,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,8.6,8.7,11.3,10.6,9,4.1,7.2,8.6,7.7,8.7,,9.1,8.6,,5.3,6.1,6,5.2,5.4,,4.6,3.9,4.3,3.6,3.2,2.7,2.8,2.2,2.1,,1.9,1.5,1.5,1,1.2,1.6,1.8
Brazil,BRA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,36.7,,,,,34.1,,,,,31.5,,,,,29,,28,,26.9,,,,,22.3,,,
Barbados,BRB,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,24.8,,,,,14.4,,,,,12.1
Bhutan,BTN,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,8.7,,,,,3.3,,,,,2.5
Bhutan,BTN,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,1.6,,,,,0.4,,,,,0.2
Bhutan,BTN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,49.9,,,,,,,,43.7,,,,,,,,,38.6,,,,,,,28.7,,,,,,29.4,,
Botswana,BWA,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,32.6,,,,,,,,26.8,,,,,,,,,23.5,,,,,,,14.7,,,,,,13.8,,
Botswana,BWA,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,17.9,,,,,,,,13.5,,,,,,,,,11.4,,,,,,,5.8,,,,,,4.3,,
Botswana,BWA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,81.1,,,,,,,,,,,66.8,,,,,66.6,,,,,,,,,
Central African Republic,CAF,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,71.1,,,,,,,,,,,49.2,,,,,50.5,,,,,,,,,
Central African Republic,CAF,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,58.8,,,,,,,,,,,30.3,,,,,33.1,,,,,,,,,
Central African Republic,CAF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,87.5,,,,,89.7,,,,,91.9,,,,,94.1,,95,,95.9,,,,,93.3,,,
Canada,CAN,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,0.6,,,,,,0.3,,,,0.3,,,0.3,,,0.5,0.5,,0.4,,,,0.3,,,0.2,,,0.3,,,0.5,,,,
Canada,CAN,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,0.5,,,,,,0.1,,,,0.2,,,0.2,,,0.3,0.3,,0.2,,,,0.2,,,0.2,,,0.2,,,0.3,,,,
Canada,CAN,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,0.4,,,,,,0.1,,,,0.1,,,0.2,,,0.2,0.2,,0.1,,,,0.1,,,0.1,,,0.1,,,0.2,,,,
Canada,CAN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
