country,project_name,year,status,lendprojectcost,boardapprovaldate
North Macedonia,North Macedonia Public Sector Energy Efficiency Project,2020,Active,"27,400,000",2020-01-30T00:00:00Z
Lesotho,Lesotho Renewable Energy & Energy Access Project,2020,Active,"52,900,000",2020-01-30T00:00:00Z
North Macedonia,Agriculture Modernization Project,2020,Active,"54,900,000",2020-01-30T00:00:00Z
Peru,Lima Metropolitano BRT North Extension,2020,Active,"123,000,000",2020-01-30T00:00:00Z
Vanuatu,Vanuatu Climate Resilient Transport Project,2020,Active,"66,000,000",2020-01-23T00:00:00Z
Grenada,Disaster Risk Management Development Policy Credit with a Catastrophe Deferred Drawdown Option,2020,Active,"20,000,000",2020-01-21T00:00:00Z
Cote d'Ivoire, Dedicated Grant Mechanism for Cote d'Ivoire,2020,Active,"4,500,000",2020-01-20T00:00:00Z
Chad,Chad Second Programmatic Economic Recovery and Resilience Grant,2020,Active,"100,000,000",2020-01-17T00:00:00Z
Chad,SWEDD Additional Financing for Chad,2020,Active,"9,000,000",2020-01-15T00:00:00Z
Vietnam,Ho Chi Minh Green Transport Development Project,2020,Active,"10,500,000",2020-01-14T00:00:00Z
Nepal,Second Additional Financing Earthquake Housing Reconstruction Project,2020,Active,"239,400,000",2020-01-14T00:00:00Z
World,Quality Assurance Capacity Building for the Off-Grid Solar Sector,2020,Active,"800,000",2020-01-14T00:00:00Z
Peru,National Urban Cadaster and Municipal Support Project,2020,Active,"80,900,000",2020-01-10T00:00:00Z
Thailand,Thailand HCFC Phase-Out Stage II,2020,Active,"5,940,000",2020-01-10T00:00:00Z
Vanuatu,Vanuatu Disaster Risk Management Development Policy Grant with a Catastrophe-Deferred Drawdown Option (CAT-DDO),2020,Active,"10,000,000",2020-01-07T00:00:00Z
Sint Maarten (Dutch part),Sint Maarten Irma Red Cross Roof Repair Project,2019,Active,"3,620,000",2019-12-30T00:00:00Z
Kenya,Kenya GPE Primary Education Development Project Additional Financing,2019,Active,"9,480,000",2019-12-27T00:00:00Z
Sao Tome and Principe,THIRD STRENGTHENING GROWTH AND FISCAL POLICY DEVELOPMENT POLICY FINANCING,2019,Active,"6,000,000",2019-12-18T00:00:00Z
West Bank and Gaza,Improving Early Childhood Development in the West Bank and Gaza,2019,Active,"9,000,000",2019-12-18T00:00:00Z
North Macedonia,North Macedonia: Local Roads Connectivity Project,2019,Active,"78,090,000",2019-12-18T00:00:00Z
Tajikistan,Second Additional Financing to the Tajikistan Health Services Improvement Project,2019,Active,"12,000,000",2019-12-18T00:00:00Z
Senegal,Senegal - Third Multi-Sectoral Structural Reforms Development Policy Financing,2019,Active,"180,000,000",2019-12-18T00:00:00Z
Comoros,Comoros Post-Kenneth Recovery and Resilience Project,2019,Active,"45,000,000",2019-12-18T00:00:00Z
Sri Lanka,Sri Lanka Public Sector Efficiency Strengthening Project,2019,Active,"42,500,000",2019-12-17T00:00:00Z
China,Forest Ecosystem Improvement in the Upper Reaches of Yangtze River Basin Program,2019,Active,"686,000,000",2019-12-17T00:00:00Z
India,State of Maharashtra's Agribusiness and Rural Transformation Project,2019,Active,"300,000,000",2019-12-17T00:00:00Z
Philippines,Promoting Competitiveness and Enhancing Resilience to Natural Disasters Sub-program 1 DPL,2019,Active,"400,000,000",2019-12-17T00:00:00Z
Comoros,ADDITIONAL FINANCING FOR THE SOCIAL SAFETY NET PROJECT,2019,Active,"18,000,000",2019-12-16T00:00:00Z
Grenada,Grenada Second Fiscal Resilience and Blue Growth Development Policy Credit,2019,Active,"20,000,000",2019-12-16T00:00:00Z
Togo,Togo First Fiscal Management and Energy Reform DPF,2019,Active,"150,000,000",2019-12-16T00:00:00Z
India,Assam Inland Water Transport Project,2019,Active,"110,000,000",2019-12-13T00:00:00Z
Kiribati,South Tarawa Water Supply Project,2019,Active,"58,120,000",2019-12-13T00:00:00Z
Mongolia,Livestock Commercialization Project,2019,Active,"38,000,000",2019-12-13T00:00:00Z
Serbia,Serbia Accelerating Innovation and Growth Entrepreneurship,2019,Active,"48,000,000",2019-12-13T00:00:00Z
Tuvalu,Tuvalu First Resilience Development Policy Operation with a Catastrophe-Deferred Drawdown Option,2019,Active,"13,500,000",2019-12-13T00:00:00Z
Lao PDR,Lao PDR Southeast Asia Disaster Risk Management Project &#8211; Additional Finance,2019,Active,"25,000,000",2019-12-13T00:00:00Z
Lao PDR,Lao PDR Road Sector Project 2 &#8211; Additional Financing,2019,Active,"28,500,000",2019-12-13T00:00:00Z
Mali,Mali Sustainable Energy and Improved Service Delivery for Increased Stability Development Policy Financing,2019,Active,"250,000,000",2019-12-12T00:00:00Z
Madagascar,Madagascar Disaster Risk Management Development Policy Financing with a Catastrophe Deferred Drawdown Option (Cat DDO),2019,Active,"50,000,000",2019-12-12T00:00:00Z
Benin,Benin First Fiscal Management and Structural Transformation Development Policy Operation,2019,Active,"100,000,000",2019-12-12T00:00:00Z
Niger,Niger First Laying the Foundation for Inclusive Development Policy Financing,2019,Active,"350,000,000",2019-12-12T00:00:00Z
Morocco,Morocco Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option,2019,Active,"275,000,000",2019-12-11T00:00:00Z
India,West Bengal Major Irrigation and Flood Management Project,2019,Active,"413,800,000",2019-12-10T00:00:00Z
,Africa CDC Regional Investment Financing Project,2019,Active,"250,000,000",2019-12-10T00:00:00Z
Malawi,Social Support for Resilient Livelihoods Project,2019,Active,"183,000,000",2019-12-10T00:00:00Z
Somalia, Somalia Urban Resilience Project II,2019,Active,"112,000,000",2019-12-09T00:00:00Z
Chile,Chile REDD+ Emissions Reductions Program,2019,Active,"26,000,000",2019-12-09T00:00:00Z
Turkey,Support to Refugees Transitioning to Communities Project,2019,Active,"1,320,000",2019-12-06T00:00:00Z
Indonesia,Improvement of Solid Waste Management to Support Regional and Metropolitan Cities,2019,Active,"326,000,000",2019-12-05T00:00:00Z
Samoa,Samoa Health System Strengthening Program,2019,Active,"40,540,000",2019-12-05T00:00:00Z
Serbia,Strengthening agriculture sector capacities for evidence-based policy making,2019,Active,"1,800,000",2019-12-04T00:00:00Z
Serbia,Serbia Competitive Agriculture Project (SCAP),2019,Active,"50,000,000",2019-12-03T00:00:00Z
Lao PDR,Poverty Reduction Fund III Additional Financing,2019,Active,"22,500,000",2019-12-02T00:00:00Z
Jordan,Strengthening Reform Management in Jordan,2019,Active,"6,500,000",2019-11-27T00:00:00Z
Solomon Islands,Tina River Hydropower Development Project Additional Financing,2019,Active,"1,000,000",2019-11-27T00:00:00Z
Indonesia,Indonesia Disaster Resilience Initiatives Project (IDRIP),2019,Active,"160,000,000",2019-11-27T00:00:00Z
Afghanistan,Afghanistan Gas Project (AGASP),2019,Active,"52,500,000",2019-11-26T00:00:00Z
Timor-Leste,Timor-Leste Branch Roads Project,2019,Active,"70,810,000",2019-11-26T00:00:00Z
Guinea,Guinea First Fiscal Management; Competitiveness; and Energy Reform DPF,2019,Active,"40,000,000",2019-11-26T00:00:00Z
,Second Africa Higher Education Centers of Excellence for Development Impact,2019,Active,"330,200,000",2019-11-26T00:00:00Z
Serbia,Real Estate Management Project Additional Financing,2019,Active,"22,900,000",2019-11-21T00:00:00Z
Armenia,Armenia Development Policy Operation: Economic; Fiscal and Public Sector Governance,2019,Active,"50,000,000",2019-11-21T00:00:00Z
,Additional Financing - Regional Disease Surveillance Systems Enhancement Project in West Africa; Phase 1 (REDISSE 1),2019,Active,"9,070,000",2019-11-20T00:00:00Z
China,Climate Smart Management of Grassland Ecosystems,2019,Active,"3,770,000",2019-11-19T00:00:00Z
Madagascar,Connectivity for Rural Livelihood Improvement Project,2019,Active,"140,000,000",2019-11-15T00:00:00Z
Jamaica,Second Rural Economic Development Initiative (REDI II) Project,2019,Active,"42,000,000",2019-11-14T00:00:00Z
Uzbekistan,Prosperous Villages,2019,Active,"183,600,000",2019-11-14T00:00:00Z
Thailand,Socio-economic Reintegration Project in Southern Thailand,2019,Active,"1,350,000",2019-11-14T00:00:00Z
Albania,Albania Gender Equality in Access to Economic Opportunities DPF,2019,Active,"50,000,000",2019-11-14T00:00:00Z
"Egypt, Arab Rep.",Equal Access and Simplified Environment for Investment Project - Additional Financing,2019,Active,"1,750,000",2019-11-08T00:00:00Z
Morocco,Municipal Performance Program,2019,Active,"760,000,000",2019-11-07T00:00:00Z
Fiji,Fiji Second Fiscal Sustainability and Climate Resilience DPO,2019,Active,"64,000,000",2019-11-07T00:00:00Z
Honduras,Improving the Livelihoods of Miskito Indigenous Peoples in La Moskitia,2019,Active,"2,720,000",2019-11-06T00:00:00Z
Chad,Chad: Mainstreaming the Extractive Industries Transparency Initiative,2019,Active,"350,000",2019-11-06T00:00:00Z
Turkey,Turkey Energy Efficiency in Public Buildings,2019,Active,"200,000,000",2019-11-05T00:00:00Z
Lao PDR,Lao PDR Clean Cook Stove Initiative,2019,Active,"5,170,000",2019-11-03T00:00:00Z
Belarus,Sustainable Energy Scale-Up Project,2019,Active,"202,250,000",2019-10-30T00:00:00Z
Belarus,Sustainable Energy Scale-Up,2019,Active,"3,650,000",2019-10-30T00:00:00Z
Ghana,Ghana Accountability for Learning Outcomes Project,2019,Active,"173,900,000",2019-10-24T00:00:00Z
Mozambique,Second Additional Financing for the Social Protection Project and Support to Cyclone and Flood Emergencies,2019,Active,"45,000,000",2019-10-23T00:00:00Z
Afghanistan,Mazar-e-Sharif Gas-to-Power Project,2019,Active,"108,600,000",2019-10-10T00:00:00Z
Afghanistan,Sheberghan Gas to Power Project,2019,Active,"51,650,000",2019-10-10T00:00:00Z
Eswatini,Kingdom of Eswatini: Water Supply and Sanitation Access Project,2019,Active,"45,000,000",2019-10-10T00:00:00Z
Montenegro,Additional Financing for the Montenegro Revenue Administration Reform Project,2019,Active,"5,310,000",2019-10-10T00:00:00Z
Tajikistan,Support for Preparation of the Rural Electrification; Sebzor HPP and Khorog-Qozideh Power Transmission Line Projects,2019,Active,"500,000",2019-10-02T00:00:00Z
,Regional Disease Surveillance Systems Enhancement Project (REDISSE) Phase IV,2019,Active,"280,000,000",2019-10-01T00:00:00Z
India,Odisha Integrated Irrigation Project for Climate Resilient Agriculture,2019,Active,"235,500,000",2019-09-30T00:00:00Z
Djibouti,Expanding Opportunities for Learning,2019,Active,"28,050,000",2019-09-30T00:00:00Z
Mongolia,Additional Financing to Ulaanbaatar Clean Air Project,2019,Active,"12,000,000",2019-09-30T00:00:00Z
Mozambique,Mozambique: Cyclone Idai & Kenneth Emergency Recovery and Resilience Project,2019,Active,"210,000,000",2019-09-30T00:00:00Z
Mozambique,Additional Financing for Integrated Feeder Road Development Project,2019,Active,"132,000,000",2019-09-30T00:00:00Z
Senegal,Investing in Maternal; Child and Adolescent Health,2019,Active,"150,000,000",2019-09-26T00:00:00Z
Myanmar,Maternal and Child Cash Transfers for Improved Nutrition Project,2019,Active,"280,860,000",2019-09-26T00:00:00Z
Indonesia,Indonesia Geothermal Resource Risk Mitigation Project (GREM),2019,Active,"465,000,000",2019-09-26T00:00:00Z
Kosovo,Municipalities for Youth in Kosovo Project,2019,Active,"2,790,000",2019-09-20T00:00:00Z
North Macedonia,North Macedonia Public Finance and Competitiveness DPL,2019,Active,"139,250,000",2019-09-19T00:00:00Z
Ghana, Improved Feeding Practices for first 1;000 Days,2019,Active,"2,860,000",2019-09-19T00:00:00Z
Sint Maarten (Dutch part),Sint Maarten Airport Terminal Reconstruction Project,2019,Active,"129,000,000",2019-09-18T00:00:00Z
,Mozambique - Malawi Regional Interconnector Project,2019,Active,"130,000,000",2019-09-17T00:00:00Z
Romania,Romania Health Program for Results,2019,Active,"5,087,200,000",2019-09-17T00:00:00Z
Vietnam,Vietnam: Strengthening Banking Sector Soundness and Development,2019,Active,"2,320,000",2019-09-17T00:00:00Z
Tanzania,Tanzania Productive Social Safety Net Project II,2019,Active,"883,310,000",2019-09-12T00:00:00Z
Nepal,Youth Employment Transformation Initiative Project,2019,Active,"120,000,000",2019-09-12T00:00:00Z
Albania,Enhancing Capital Markets Supervision Capacities of The Albanian Financial Supervisory Authority Phase 2,2019,Active,"1,390,000",2019-09-09T00:00:00Z
Burundi,Investing in Early Years and Fertility in Burundi (NKURIZA),2019,Active,"30,000,000",2019-09-05T00:00:00Z
Argentina,Supporting the Electricity Social Tariff Transition in the Province of Buenos Aires,2019,Active,"150,000,000",2019-09-05T00:00:00Z
Argentina,Matanza-Riachuelo Basin (MRB) Sustainable Development Project Additional Financing,2019,Active,"332,000,000",2019-09-05T00:00:00Z
Burkina Faso,Burkina Faso Agriculture Resilience and Competitiveness Project,2019,Active,"261,900,000",2019-08-30T00:00:00Z
Grenada,Digital Government for Resilience,2019,Active,"15,000,000",2019-08-29T00:00:00Z
Caribbean small states,OECS Regional Health Project,2019,Active,"30,600,000",2019-08-29T00:00:00Z
Rwanda,Third Rwanda Energy Sector Development Policy Operation,2019,Active,"125,000,000",2019-08-29T00:00:00Z
Cameroon,Second Fiscal Consolidation and Inclusive Growth DPF,2019,Active,"200,000,000",2019-08-28T00:00:00Z
Kyrgyz Republic,National Water Resources Management Project Additional Financing,2019,Active,"4,490,000",2019-08-26T00:00:00Z
Uganda,IMPLEMENTING CHANGE MANAGEMENT STRATEGY FOR EGP AND BUILDING CAPACITY FOR PPDA AND ITS STAKEHOLDERS,2019,Active,"840,000",2019-08-23T00:00:00Z
Cote d'Ivoire,Support to the Data Science Institute at the Institut National polytechnique Houphouet Boigny,2019,Active,"400,000",2019-08-23T00:00:00Z
Mongolia,Entrepreneurship-focused socioemotional skills for the most vulnerable youth in rural Mongolia,2019,Active,"2,750,000",2019-08-22T00:00:00Z
Brazil,Cear&#225; Water Security and Governance,2019,Active,"174,850,000",2019-08-08T00:00:00Z
Colombia,Orinoquia Integrated Sustainable Landscapes,2019,Active,"36,020,000",2019-08-08T00:00:00Z
Colombia,Colombia: Subnational Strengthening and Mainstreaming of Transparency in the Extractive Sector,2019,Active,"400,000",2019-08-08T00:00:00Z
Somalia,Shock Responsive Safety Net for Human Capital Project,2019,Active,"65,000,000",2019-08-08T00:00:00Z
Nepal,Nepal: Additional Financing for School Sector Development Program,2019,Active,"23,960,000",2019-08-05T00:00:00Z
Dominican Republic,COMMUNITY PARTICIPATION IN HOW IS MY SCHOOL DOING PROJECT,2019,Active,"600,000",2019-08-04T00:00:00Z
Madagascar,Statistical Capacity EU Grant,2019,Active,"1,740,000",2019-08-02T00:00:00Z
Mongolia,Second Economic Management Support Operation,2019,Active,"100,000,000",2019-07-30T00:00:00Z
Rwanda,Rwanda Quality Basic Education for Human Capital Development Project,2019,Active,"200,000,000",2019-07-30T00:00:00Z
Pakistan,Second Additional Financing to FATA Temporarily Displaced Persons Emergency Recovery Project,2019,Active,"15,000,000",2019-07-30T00:00:00Z
Mauritania,Mauritania First Competition and Skills DPO,2019,Active,"50,000,000",2019-07-24T00:00:00Z
Mali,Additional Financing to the Mali Rural Electrification Hybrid System Project,2019,Active,"22,700,000",2019-07-23T00:00:00Z
Paraguay,Improving Administrative Records for SDGs implementation and evidence-based policymaking in Paraguay,2019,Active,"350,000",2019-07-23T00:00:00Z
West Bank and Gaza,Real Estate Registration Project,2019,Active,"12,600,000",2019-07-22T00:00:00Z
Brazil,Ceara Rural Sustainable Development and Competitiveness Phase II,2019,Active,"153,530,000",2019-07-18T00:00:00Z
Pakistan,Balochistan Education Project,2019,Active,"10,710,000",2019-07-18T00:00:00Z
Benin,Benin Global Partnership for Education Project Phase 3,2019,Active,"18,900,000",2019-07-17T00:00:00Z
Angola,Luanda Bita Water Supply Guarantee Project,2019,Active,"1,090,000,000",2019-07-16T00:00:00Z
Liberia,Public Financial Management Reforms for Institutional Strengthening,2019,Active,"19,000,000",2019-07-16T00:00:00Z
Angola,Angola Growth and Inclusion DPF,2019,Active,"250,000,000",2019-07-16T00:00:00Z
Angola,Strengthening the National Social Protection System Project (Cash Transfer),2019,Active,"320,000,000",2019-07-16T00:00:00Z
Zimbabwe,Zimbabwe Idai Recovery Project,2019,Active,"72,000,000",2019-07-16T00:00:00Z
South Africa,Additional Financing for SAPP AREP Program - MDTF,2019,Active,"8,500,000",2019-07-15T00:00:00Z
Argentina,Second Inclusive Growth Programmatic DPF,2019,Closed,"500,000,000",2019-07-11T00:00:00Z
Tajikistan,Rural Electrification Project,2019,Active,"31,700,000",2019-07-11T00:00:00Z
Bangladesh,Bangladesh Municipal Water Supply and Sanitation Project,2019,Active,"209,530,000",2019-07-11T00:00:00Z
Suriname,Competitiveness and Sector Diversification,2019,Active,"23,000,000",2019-07-09T00:00:00Z
Guinea,Guinea Project for Results in Early Childhood and Basic Education,2019,Active,"50,000,000",2019-07-09T00:00:00Z
Mozambique,Additional Financing to the Agriculture and Natural Resources  Landscape Management Project (SUSTENTA),2019,Active,"60,000,000",2019-07-03T00:00:00Z
Liberia,Improving Results in Secondary Education (IRISE),2019,Active,"47,000,000",2019-07-02T00:00:00Z
Samoa,Samoa Agriculture & Fisheries Productivity and Marketing Project (SAFPROM),2019,Active,"23,550,000",2019-07-02T00:00:00Z
Comoros,Comprehensive Approach to Health System Strengthening,2019,Active,"30,000,000",2019-07-02T00:00:00Z
Ghana,Ghana Economic Transformation Project,2019,Active,"200,000,000",2019-07-02T00:00:00Z
"Egypt, Arab Rep.",Strengthening Social Safety Net Additional Financing,2019,Active,"500,000,000",2019-07-02T00:00:00Z
Guinea-Bissau,Guinea-Bissau - Rural Transport Project,2019,Active,"15,000,000",2019-07-01T00:00:00Z
Benin,Digital Rural Transformation Project,2019,Active,"100,000,000",2019-07-01T00:00:00Z
Maldives,Development Policy Financing with a Catastrophe Deferred Drawdown Option and Pandemic Emergency Financing Facility,2019,Active,"10,000,000",2019-07-01T00:00:00Z
Maldives,Maldives First Fiscal Sustainability and Budget Credibility Development Policy Financing Operation,2019,Active,"10,000,000",2019-07-01T00:00:00Z
Uzbekistan,Uzbekistan: Strengthening the Social Protection System Project,2019,Active,"50,000,000",2019-07-01T00:00:00Z
Sierra Leone,Sierra Leone SSN Project Second Additional Financing,2019,Active,"31,000,000",2019-07-01T00:00:00Z
Somalia,Somalia - Water for Agro-pastoral Productivity and Resilience,2019,Active,"42,000,000",2019-07-01T00:00:00Z
Argentina,Improving Inclusion in Secondary and Higher Education,2019,Active,"341,000,000",2019-06-28T00:00:00Z
,Africa Climate Resilience Investment Facility,2019,Active,"800,000",2019-06-28T00:00:00Z
Pakistan,Competitive and Livable City of Karachi Project,2019,Active,"240,000,000",2019-06-27T00:00:00Z
Pakistan,Khyber Pakhtunkhwa Integrated Tourism Development Project,2019,Active,"77,000,000",2019-06-27T00:00:00Z
Pakistan,Karachi Water and Sewerage Services Improvement Project (KWSSIP),2019,Active,"100,000,000",2019-06-27T00:00:00Z
Vietnam,Vietnam Scaling Up Energy Efficiency Guarantee,2019,Active,"262,300,000",2019-06-27T00:00:00Z
Vietnam,Vietnam Scaling Up Energy Efficiency Project,2019,Active,"262,300,000",2019-06-27T00:00:00Z
Eswatini,Network Reinforcement and Access Project,2019,Active,"45,000,000",2019-06-27T00:00:00Z
Pakistan,Karachi Mobility Project,2019,Active,"438,000,000",2019-06-27T00:00:00Z
Cote d'Ivoire,Abidjan Urban Mobility Project,2019,Active,"540,000,000",2019-06-27T00:00:00Z
Honduras,Integrating Innovation for Rural Competitiveness in Honduras - COMRURAL II,2019,Active,"146,900,000",2019-06-27T00:00:00Z
Philippines,Social Welfare Development and Reform Project II Additional Financing,2019,Active,"3,574,750,000",2019-06-27T00:00:00Z
India,The First Resilient Kerala Program Development Policy Operation,2019,Active,"250,000,000",2019-06-27T00:00:00Z
Honduras,TEGUCIGALPA: WATER SUPPLY STRENGTHENING PROJECT,2019,Active,"126,000,000",2019-06-27T00:00:00Z
Cote d'Ivoire,Urban Water Supply and Sanitation Project,2019,Active,"150,000,000",2019-06-27T00:00:00Z
Indonesia,Institutional Strengthening for Improved Village Service Delivery,2019,Active,"350,000,000",2019-06-26T00:00:00Z
Indonesia,Realizing  Education's  Promise:  Support to Indonesia's Ministry of Religious Affairs for Improved Quality of Education,2019,Active,"252,500,000",2019-06-26T00:00:00Z
Lao PDR,Lao PDR Clean Cook Stove Initiative,2019,Active,"6,440,000",2019-06-26T00:00:00Z
Sri Lanka,Climate Resilience Multi-Phase Programmatic Approach,2019,Active,"317,000,000",2019-06-25T00:00:00Z
Tunisia,Energy Sector Improvement Project,2019,Active,"151,000,000",2019-06-24T00:00:00Z
Jordan,Jordan Emergency Health Project Additional Financing,2019,Active,"200,000,000",2019-06-24T00:00:00Z
Mali,Mali Governance of Mining Sector,2019,Active,"40,000,000",2019-06-21T00:00:00Z
Chad,CHAD Skills Development for Youth Employability Project,2019,Active,"50,000,000",2019-06-21T00:00:00Z
Mali,Mali Electricity Sector  Improvement Project (MESIP),2019,Active,"152,100,000",2019-06-21T00:00:00Z
"Egypt, Arab Rep.",Support to the Preparation of Egypt&#8217;s First National Strategy for Development of Statistics,2019,Active,"160,000",2019-06-21T00:00:00Z
Bhutan,Strengthening Fiscal Management and Private Sector Employment Opportunities,2019,Active,"30,000,000",2019-06-21T00:00:00Z
Turkey,Disaster Risk Management in Schools Project,2019,Active,"300,000,000",2019-06-20T00:00:00Z
Pakistan,Khyber Pakhtunkhwa Irrigated-Agriculture Improvement Project,2019,Active,"219,300,000",2019-06-20T00:00:00Z
Malawi,Malawi - Electricity Access Project,2019,Active,"150,000,000",2019-06-20T00:00:00Z
Niger,AGRICULTURAL AND LIVESTOCK TRANSFORMATION PROJECT,2019,Active,"134,900,000",2019-06-20T00:00:00Z
Morocco,Education Support Program,2019,Active,"500,000,000",2019-06-20T00:00:00Z
Tajikistan,Tajikistan Socio-Economic Resilience Strengthening Project,2019,Active,"37,000,000",2019-06-20T00:00:00Z
Tajikistan,Rural Economy Development Project,2019,Active,"30,000,000",2019-06-20T00:00:00Z
Afghanistan,2019 Incentive Program Development Policy Operation,2019,Active,"100,000,000",2019-06-20T00:00:00Z
South Africa,Temane Regional Electricity Project,2019,Active,"1,426,000,000",2019-06-20T00:00:00Z
South Africa,Temane Regional Electricity Project,2019,Active,"1,426,000,000",2019-06-20T00:00:00Z
Indonesia,Central Sulawesi Rehabilitation and Reconstruction Project,2019,Active,"150,000,000",2019-06-19T00:00:00Z
Vietnam,Investing and Innovating for Grassroots Health Service Delivery,2019,Active,"109,250,000",2019-06-19T00:00:00Z
Argentina,Metropolitan Buenos Aires Urban Transformation Project Additional Financing,2019,Active,"125,000,000",2019-06-18T00:00:00Z
Mexico,Mexico Financial Inclusion DPF,2019,Active,"500,000,000",2019-06-18T00:00:00Z
Maldives,Maldives: Enhancing Employability and Resilience of Youth Project,2019,Active,"20,000,000",2019-06-14T00:00:00Z
Belarus,Belarus Utility Efficiency and Quality Improvement Project,2019,Active,"101,000,000",2019-06-14T00:00:00Z
Mozambique,MZ - Additional Financing - Water Services and Institutional Support II,2019,Active,"109,800,000",2019-06-14T00:00:00Z
Tunisia,Tunisia Innovative Startups and SMEs Project,2019,Active,"75,000,000",2019-06-14T00:00:00Z
Cote d'Ivoire,Social Protection and Economic Inclusion Project (Productive Social Safety Net Additional Financing),2019,Active,"100,000,000",2019-06-14T00:00:00Z
Uzbekistan,Sustaining Market Reforms in Uzbekistan Development Policy Operation,2019,Active,"500,000,000",2019-06-14T00:00:00Z
Tunisia,Digital Transformation for User-Centric Public Services,2019,Active,"100,000,000",2019-06-14T00:00:00Z
Liberia,Liberia Urban Water Supply Project Additional Financing,2019,Active,"30,000,000",2019-06-14T00:00:00Z
